Driver,Team,LapTime,Compound,TyreLife,FreshTyre,Stint,TrackStatus,Sector1Time,Sector2Time,Sector3Time,Deleted,LapTime_sec,Sector1Time_sec,Sector2Time_sec,Sector3Time_sec,Position,GridPosition,GP,Year
ALB,Williams,0 days 00:01:32.664000,SOFT,2.0,True,5.0,1,0 days 00:00:29.564000,0 days 00:00:39.897000,0 days 00:00:23.203000,False,92.664,29.564,39.897,23.203,13.0,14.0,Bahrain Grand Prix,2022
ALO,Alpine,0 days 00:01:31.621000,SOFT,2.0,True,4.0,1,0 days 00:00:29.306000,0 days 00:00:39.305000,0 days 00:00:23.010000,False,91.621,29.306,39.305,23.01,9.0,8.0,Bahrain Grand Prix,2022
BOT,Alfa Romeo,0 days 00:01:31.560000,SOFT,2.0,True,5.0,1,0 days 00:00:29.203000,0 days 00:00:39.296000,0 days 00:00:23.061000,False,91.56,29.203,39.296,23.061,6.0,6.0,Bahrain Grand Prix,2022
GAS,AlphaTauri,0 days 00:01:31.635000,SOFT,2.0,True,5.0,1,0 days 00:00:29.253000,0 days 00:00:39.335000,0 days 00:00:23.047000,False,91.635,29.253,39.335,23.047,20.0,10.0,Bahrain Grand Prix,2022
HAM,Mercedes,0 days 00:01:31.048000,SOFT,2.0,True,3.0,1,0 days 00:00:29.100000,0 days 00:00:39.038000,0 days 00:00:22.910000,False,91.048,29.1,39.038,22.91,3.0,5.0,Bahrain Grand Prix,2022
HUL,Aston Martin,0 days 00:01:32.777000,SOFT,2.0,True,2.0,1,0 days 00:00:29.833000,0 days 00:00:39.760000,0 days 00:00:23.184000,False,92.777,29.833,39.76,23.184,17.0,17.0,Bahrain Grand Prix,2022
LAT,Williams,0 days 00:01:33.634000,SOFT,2.0,True,2.0,1,0 days 00:00:29.810000,0 days 00:00:40.495000,0 days 00:00:23.329000,False,93.634,29.81,40.495,23.329,16.0,20.0,Bahrain Grand Prix,2022
LEC,Ferrari,0 days 00:01:30.558000,SOFT,2.0,True,5.0,1,0 days 00:00:29.115000,0 days 00:00:38.702000,0 days 00:00:22.741000,False,90.558,29.115,38.702,22.741,1.0,1.0,Bahrain Grand Prix,2022
MAG,Haas F1 Team,0 days 00:01:31.461000,SOFT,2.0,True,3.0,1,0 days 00:00:29.391000,0 days 00:00:39.191000,0 days 00:00:22.879000,False,91.461,29.391,39.191,22.879,5.0,7.0,Bahrain Grand Prix,2022
MSC,Haas F1 Team,0 days 00:01:31.998000,SOFT,2.0,True,3.0,1,0 days 00:00:29.538000,0 days 00:00:39.430000,0 days 00:00:23.030000,False,91.998,29.538,39.43,23.03,11.0,12.0,Bahrain Grand Prix,2022
NOR,McLaren,0 days 00:01:32.008000,SOFT,2.0,True,4.0,1,0 days 00:00:29.544000,0 days 00:00:39.355000,0 days 00:00:23.109000,False,92.008,29.544,39.355,23.109,15.0,13.0,Bahrain Grand Prix,2022
OCO,Alpine,0 days 00:01:31.782000,SOFT,2.0,True,3.0,1,0 days 00:00:29.407000,0 days 00:00:39.294000,0 days 00:00:23.081000,False,91.782,29.407,39.294,23.081,7.0,11.0,Bahrain Grand Prix,2022
PER,Red Bull Racing,0 days 00:01:30.921000,SOFT,2.0,True,6.0,1,0 days 00:00:29.180000,0 days 00:00:38.894000,0 days 00:00:22.847000,False,90.921,29.18,38.894,22.847,18.0,4.0,Bahrain Grand Prix,2022
RIC,McLaren,0 days 00:01:32.945000,SOFT,2.0,True,2.0,1,0 days 00:00:29.763000,0 days 00:00:39.862000,0 days 00:00:23.320000,False,92.945,29.763,39.862,23.32,14.0,18.0,Bahrain Grand Prix,2022
RUS,Mercedes,0 days 00:01:31.252000,SOFT,2.0,True,3.0,1,0 days 00:00:29.197000,0 days 00:00:39.104000,0 days 00:00:22.951000,False,91.252,29.197,39.104,22.951,4.0,9.0,Bahrain Grand Prix,2022
SAI,Ferrari,0 days 00:01:30.687000,SOFT,2.0,True,4.0,1,0 days 00:00:29.036000,0 days 00:00:38.842000,0 days 00:00:22.809000,False,90.687,29.036,38.842,22.809,2.0,3.0,Bahrain Grand Prix,2022
STR,Aston Martin,0 days 00:01:33.032000,SOFT,2.0,True,2.0,1,0 days 00:00:29.906000,0 days 00:00:39.844000,0 days 00:00:23.282000,False,93.032,29.906,39.844,23.282,12.0,19.0,Bahrain Grand Prix,2022
